session_name,topic,practice_url,question_number,question,option_1,option_2,option_3
You need an AI to rewrite a product description.,Theory,https://app.datacamp.com/learn/practice/p/740443b6-d48f-417c-8f99-c562f0d9e16f,1,"You need an AI to rewrite a product description. Prompt draft: ""Make this better: Our backpack has many pockets and is durable."" Which addition most directly provides the missing Context (background/audience + why it matters) without adding new constraints or examples?","Example output: ""Built for the daily commute—this rugged backpack keeps your gear organized with quick-access pockets."" The target audience is busy commuters browsing on mobile who skim for about 8 seconds, so lead with the main benefit first. Make the tone energetic and keep it under 70 words. Rewrite it in a single paragraph using active voice and highlight 3 benefits. Keyboard Shortcuts List",,
You need an AI to rewrite a product description.,Theory,https://app.datacamp.com/learn/practice/p/740443b6-d48f-417c-8f99-c562f0d9e16f,2,"You need an AI to rewrite a product description. Prompt draft: ""Make this better: Our backpack has many pockets and is durable."" Which addition most directly provides the missing Context (background/audience + why it matters) without adding new constraints or examples?","Example output: ""Built for the daily commute—this rugged backpack keeps your gear organized with quick-access pockets."" The target audience is busy commuters browsing on mobile who skim for about 8 seconds, so lead with the main benefit first. Make the tone energetic and keep it under 70 words. Rewrite it in a single paragraph using active voice and highlight 3 benefits. Keyboard Shortcuts List",,
You need an AI to rewrite a product description.,Theory,https://app.datacamp.com/learn/practice/p/740443b6-d48f-417c-8f99-c562f0d9e16f,3,"You need an AI to rewrite a product description. Prompt draft: ""Make this better: Our backpack has many pockets and is durable."" Which addition most directly provides the missing Context (background/audience + why it matters) without adding new constraints or examples?","Example output: ""Built for the daily commute—this rugged backpack keeps your gear organized with quick-access pockets."" The target audience is busy commuters browsing on mobile who skim for about 8 seconds, so lead with the main benefit first. Make the tone energetic and keep it under 70 words. Rewrite it in a single paragraph using active voice and highlight 3 benefits. Keyboard Shortcuts List",,
Report an issue,Python,https://practice.datacamp.com/p/3,1,Let's Practice Introduction to Python Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Python Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Python,Python,https://practice.datacamp.com/p/3,2,"x and y are as follows: x = np.array([[1, 2, 7], [7, 7, 1]]) y = np.array([[6, 5, 5], [0, 6, 1]]) Select the code to return the output [[ 7  7 12] [ 7 13  2]] Select the code print(x + y) print(x * y) print(x ** y)","and are as follows: x = np.array([[1, 2, 7], [7, 7, 1]]) y = np.array([[6, 5, 5], [0, 6, 1]]) Select the code to return the output [[ 7  7 12] [ 7 13  2]] Select the code print(x + y)",print(x * y),print(x ** y)
Introduction to Python,Python,https://practice.datacamp.com/p/3,3,"x and y are as follows: x = np.array([[1, 2, 7], [7, 7, 1]]) y = np.array([[6, 5, 5], [0, 6, 1]]) Select the code to return the output [[ 7  7 12] [ 7 13  2]] Select the code print(x + y) print(x * y) print(x ** y)","and are as follows: x = np.array([[1, 2, 7], [7, 7, 1]]) y = np.array([[6, 5, 5], [0, 6, 1]]) Select the code to return the output [[ 7  7 12] [ 7 13  2]] Select the code print(x + y)",print(x * y),print(x ** y)
Report an issue,Power BI,https://practice.datacamp.com/p/610,1,Let's Practice Introduction to Power BI Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Power BI Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Power BI,Power BI,https://practice.datacamp.com/p/610,2,Where are the icons to create charts located in Power BI?,Filters pane,Fields pane,Model view
Introduction to Power BI,Power BI,https://practice.datacamp.com/p/610,3,Where are the icons to create charts located in Power BI?,Filters pane,Fields pane,Model view
Report an issue,SQL,https://practice.datacamp.com/p/591,1,Let's Practice Introduction to SQL Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to SQL Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to SQL,SQL,https://practice.datacamp.com/p/591,2,What is the output of this code?,SELECT DISTINCT employee_id FROM campaigns; Select the table campaign_id,employee_id,channel Billboard TV Paid search Social Media
Introduction to SQL,SQL,https://practice.datacamp.com/p/591,3,What is the output of this code?,SELECT DISTINCT employee_id FROM campaigns; Select the table campaign_id,employee_id,channel Billboard TV Paid search Social Media
