slug,url,title,level,duration,description,project_type,tools,prerequisites,instructors,topics,updated_date,authors
when_was_the_golden_era_of_video_games,https://app.datacamp.com/learn/projects/when_was_the_golden_era_of_video_games,When Was the Golden Era of Video Games?,Basic,30 min,"According to Mordor Intelligence, video games are big business: the global gaming market is projected to be worth more than $300 billion by 2027. With so much money at stake, the major game publishers are hugely incentivized to create the next big hit. But are games getting better, or has the golden age of video games already passed?

In this project, you'll analyze video game critic and user scores, in addition to sales data for the top 400 video games released since 1977. You'll search for a golden age of video games by identifying release years that users and critics liked best, and you'll explore the business side of gaming by looking at game sales data.",Guided,"SQL, Redshift",,"George Boorman, Izzy Weber, Amina Edmunds",,Nov 2024,
2485,https://app.datacamp.com/learn/projects/2485,Introduction to Notebook Projects,Basic,15 min,"This introductory project will take you through how to work with DataLab notebooks and how to use these to solve DataCamp projects. You will learn about notebooks and cells and how to use these to solve the problems in our Python, SQL & R projects. You'll soon be ready to tackle your first real notebook based project!",,,,Jason Mak,,Apr 2026,
1531,https://app.datacamp.com/learn/projects/1531,Analyzing Unicorn Companies,Advanced,1 hr,"Which industries are booming? Where should your next investment be? With the rise of the ‘amateur investor’ and the availability of platforms enabling people to invest and sell stock in public companies, it’s never been a better time to understand the financial performance of companies across the globe!

Using a PostgreSQL database you’ll be able to analyze information about unicorn companies worth over $1 billion! You’ll find out which industries have the highest average valuation and then zoom in on these to determine how many new unicorns have been produced annually between 2019 and 2021!",,,,George Boorman,,Apr 2024,
1574,https://app.datacamp.com/learn/projects/1574,Analyzing Motorcycle Part Sales,Advanced,1 hr,"Working on behalf of a company that sells motorcycle parts, you'll dig into their data to help them understand their revenue streams. You'll build up a query to find out how much net revenue they are generating across their product lines, segregating by date and warehouse.",,,,"George Boorman, COLLABORATORS",,Apr 2026,
1613,https://app.datacamp.com/learn/projects/1613,Cleaning Bank Marketing Campaign Data,Intermediate,30 min,"Data cleaning is an essential skill for data engineers, encompassing reading, modifying, splitting, and storing data.

In this notebook, you will apply your data-cleaning skills to process information about marketing campaigns run by a bank.

You will need to modify values, add new features, convert data types, and save data into multiple files.",,,,"George Boorman, COLLABORATORS",,Apr 2024,
1633,https://app.datacamp.com/learn/projects/1633,Word Frequency in Moby Dick,Intermediate,1 hr,"In this project, you'll scrape a novel from an html file taken from the website Project Gutenberg (which contains a large corpus of books) using the Python requests package. Then you'll extract text from this web data using the BeautifulSoup library. Finally, you'll analyze the distribution of words using the Natural Language ToolKit (nltk), a very common NLP task used to gain insights on textual data and lay the groundwork for deeper analysis.

The natural language processing tools used here are required for many important data science tasks as a vast proportion of the world's data is unstructured and includes a great deal of text. To complete this project, you need to know how to import web data into Python and how to work with natural language text.",,,,Jasmin Ludolf,,Apr 2024,
1684,https://app.datacamp.com/learn/projects/1684,Data-Driven Product Management: Conducting a Market Analysis,Basic,1 hr,"In this project, you'll explore local and international markets to find opportunities for your fitness products. You'll use your data manipulation skills to examine data about online interest in home gyms, gym workouts, home workouts, and fitness products, and create visualizations to help guide your product decisions.",,,,Maham Khan,,May 2024,
1685,https://app.datacamp.com/learn/projects/1685,What's in an Avocado Toast: A Supply Chain Analysis,Basic,1 hr,"In this project, you'll apply your data manipulation and analysis skills to conduct a supply chain analysis of the ingredients used in an avocado toast, using the data from Open Food Facts. This database contains extensive, openly-sourced information on various foods, including their origins. This analysis, you will give you an in-depth understanding of the complex supply chain involved in producing a single dish.",,,,Maham Khan,,Jul 2024,
1772,https://app.datacamp.com/learn/projects/1772,Predictive Modeling for Agriculture,Intermediate,1 hr,"A farmer reached out to you as a machine learning expert seeking help to select the best crop for his field. Due to budget constraints, the farmer explained that he could only afford to measure one out of the four essential soil measures:

Nitrogen content ratio in the soil
Phosphorous content ratio in the soil
Potassium content ratio in the soil
pH value of the soil

The expert realized that this is a classic feature selection problem, where the objective is to pick the most important feature that could help predict the crop accurately. Can you help him?",,,,"Mohammed Abufouda, COLLABORATORS",,Apr 2024,
1792,https://app.datacamp.com/learn/projects/1792,Hypothesis Testing in Healthcare,Intermediate,1 hr,"Pharmaceutical drugs have become an essential part of our health. Therefore, they need to be safe with little or no adverse effects.

You work with a non-profit that advocates for pharmaceutical drug safety. One of Its tasks is to create reports on drugs independent of the drug manufacturer. You'll conduct several hypothesis tests using Python to determine if the adverse reactions of a hypothetical drug are significant. You'll also check if factors such as age significantly influence the adverse reactions.",,,,"Mark Edosa, COLLABORATORS",,Jun 2025,
1809,https://app.datacamp.com/learn/projects/1809,Clustering Antarctic Penguin Species,Intermediate,1 hr,"Delve into the information about penguins by utilizing unsupervised learning techniques on a thoughtfully curated dataset. uncover concealed patterns, clusters, and relationships that exist within the dataset.",,,,"Amir Parizi, COLLABORATORS",,Jun 2024,
1833,https://app.datacamp.com/learn/projects/1833,Building a Retail Data Pipeline,Intermediate,45 min,"Mastering data pipelines is essential for Data Engineers today. It involves extracting, transforming, and loading data — a fundamental task that ensures information flows smoothly.

In this project, you will work with retail data from a multinational retail corporation Walmart. You will retrieve data from different sources, like SQL and parquet; prepare the data using some transformation techniques, and finally load the data in an easy-to-access format.",,,,"Anastasia Dvoryanchikova, COLLABORATORS",,Sep 2024,
1849,https://app.datacamp.com/learn/projects/1849,Planning a Trip to Paris with the OpenAI API,Basic,30 min,"Get ready to deploy your AI developer skills with OpenAI's API! You'll work to construct a comprehensive AI-powered Parisian travel guide.

In this project, you will utilize OpenAI's models to answer travel-related queries intelligently, offering customized recommendations for exploring Paris.",,,,"Garrison Leach, George Boorman, Rick Gaston",,Jul 2025,
1857,https://app.datacamp.com/learn/projects/1857,Building Financial Reports,Intermediate,1 hr,"Time to put the financial analyst in you to the test! You are working for a hedge fund and your manager wants some quick analysis on the profitability and leverage of companies from various industries. Your manager is particularly interested in investing in real estate companies and is wondering if highly leveraged real estate companies are more profitable. You decide to use your skills with analyzing, computing, and visualizing financial ratios to help him!",,,,"Rohan Chatterjee, Rick Gaston",,Apr 2024,
1876,https://app.datacamp.com/learn/projects/1876,Analyzing Crime in Los Angeles,Intermediate,45 min,"Los Angeles, California, attracts people from all over the world, offering lots of opportunities, not always of the good kind!

In this project, you'll serve as a data detective, supporting the Los Angeles Police Department (LAPD) in analyzing crime data to guide how they should allocate resources to protect the people of their city!",,,,"George Boorman, COLLABORATORS",,Mar 2025,
1879,https://app.datacamp.com/learn/projects/1879,Performing a Code Review,Intermediate,1 hr,"Similar to software engineering teams, data teams write and ship code that must execute in a production environment. Performing code reviews helps to ensure the integrity of this code, and often catches logic and style errors missed during initial development.

In this project, you'll take on the role of a Senior Data Scientist, performing a code review for a Junior Data Scientist in your team. You'll review and make changes to their logic to ingest, clean, and visualize smartphone data to make sure it follows Python best practices, such as adhering to PEP-8 and DRY principles, as well as readability and documentation.",,,,"Jake Roach, George Boorman",,Aug 2024,
1896,https://app.datacamp.com/learn/projects/1896,Enriching Stock Market Data using the OpenAI API,Basic,1 hr,"Get ready to use your AI programming skills with OpenAI's API! As an AI developer, your assignment is to leverage OpenAI API to enrich and summarize stock market data.

You will utilize OpenAI's classification capabilities to label the sector of stocks in the NASDAQ 100 as well produce insights about the best performing stocks within the index!",,,,"Eduardo Oliveira, COLLABORATORS",,Jun 2025,
1906,https://app.datacamp.com/learn/projects/1906,Analyze International Debt Statistics,Basic,30 min,"In this project, you are going to analyze international debt data collected by The World Bank. The dataset contains information about the amount of debt (in USD) owed by developing countries across several categories. Use your data manipulation skills to find out which countries have the highest and lowest amounts of debt.",,,,"Maarten Van den Broeck, COLLABORATORS",,May 2024,
1908,https://app.datacamp.com/learn/projects/1908,Predicting Credit Card Approvals,Intermediate,1 hr,"Commercial banks process numerous credit card applications and often need to reject them. In this project, you'll use supervised machine learning techniques to automate this process, making it an efficient and cost-effective solution for banks.",,,,"Maarten Van den Broeck, COLLABORATORS",,Jun 2024,
1931,https://app.datacamp.com/learn/projects/1931,Debugging a Sales Data Workflow,Basic,45 min,"Programming is not only about writing code from scratch but also about reading and improving an already written code.

In this project, you will work to fix the start of a sales workflow. You will need to read an already-written code, understand where the problem is, and come up with a solution so things will run smoothly again.",,,,"Katerina Zahradova, COLLABORATORS",,Jan 2025,
1951,https://app.datacamp.com/learn/projects/1951,Producing Soccer Insights for a Sports Media Agency,Basic,1 hr,"Passionate about soccer and SQL? Dive into a Snowflake database containing data on the UEFA Champions League between 2020 and 2022. Enhance SQL skills, uncover fascinating insights, and enjoy the beautiful game with data.",,,,"Ranjan Relan, COLLABORATORS",,Jun 2024,
1962,https://app.datacamp.com/learn/projects/1962,Analyzing Flight Delays and Cancellations,Intermediate,1 hr,"Unlock the secrets of flight delays and cancellations with data analysis! Dive into the world of aviation data to identify key factors and airlines most affected by disruptions in the Pacific Northwest by using your data wrangling, data visualization, and exploratory data analysis skills.",,,,"Dr. Chester Ismay, COLLABORATORS",,Apr 2024,
1963,https://app.datacamp.com/learn/projects/1963,Inspecting Electric Vehicle Charging Trends,Intermediate,1 hr,"As electric vehicles become more prevalent, understanding the growth and usage patterns of charging infrastructure is crucial for planning and development. Examine electric vehicle charging trends from 2014-2022 using your data wrangling, joining.",,,,"Dr. Chester Ismay, COLLABORATORS",,Apr 2024,
1965,https://app.datacamp.com/learn/projects/1965,Assessing Customer Churn Using Machine Learning,Intermediate,1 hr,"Dive into India's telecom sector to analyze customer churn. Utilize pandas and machine learning to study datasets from top telecom firms, revealing demographic and usage patterns. Predict customer retention, merging data analysis and predictive modeling to sharpen your data science expertise.",,,,"Dr. Chester Ismay, COLLABORATORS",,Mar 2025,
2011,https://app.datacamp.com/learn/projects/2011,Assessing the Effectiveness of Medical Treatments,Advanced,45 min,"Dive into the mystery of Simpson's Paradox with a study on kidney stone treatments. Discover how outcomes vary by patient group and why some treatments outperform others in specific scenarios.

As a Data Scientist, you'll use regression analysis to unveil hidden insights, revealing the true story behind health data.",,,,"Stan Konkin, COLLABORATORS",,Mar 2024,
2017,https://app.datacamp.com/learn/projects/2017,Identifying Flight Duration Trends in Air Travel,Basic,1 hr,"Fly into the world of airline data analysis, focusing on flights from NYC in the latter half of 2022. Enhance your data manipulation skills by exploring flight durations, frequencies, and destinations using the tidyverse and gain valuable insights into airline operations.",,,,"Dr. Chester Ismay, COLLABORATORS",,Apr 2024,
2018,https://app.datacamp.com/learn/projects/2018,Deciphering Customer Buying Cycles in Grocery Stores,Intermediate,1 hr,"Analyze grocery store transactions to optimize retail strategies for a local chain. Dive two grocery store s' data including date and time information. Explore customer behavior by examining purchase times, quantities, and product preferences. Utilize the tidyverse for data manipulation and uncover trends in shopping habits.",,,,"Dr. Chester Ismay, COLLABORATORS",,Apr 2024,
2026,https://app.datacamp.com/learn/projects/2026,Topic Analysis of Clothing Reviews with Embeddings,Intermediate,1 hr,"In the competitive world of e-commerce, understanding customer feedback is vital for business success. This project focuses on analyzing reviews from the Women's Clothing E-Commerce Reviews dataset. The challenge is to process and analyze text data, categorize feedback into themes, and perform semantic and similarity searches to gain deeper understanding of customer sentiments. The project will provide invaluable skills in data processing, natural language understanding, and leveraging AI for practical business applications.",,,,"Sifat Khan, COLLABORATORS",,Jun 2025,
2030,https://app.datacamp.com/learn/projects/2030,Getting a Good Night's Sleep,Basic,1 hr,"Sleep is essential for both physical and mental health. Quality sleep repairs cells, consolidates memories, wards off disease, and much more. In this project, you'll be working as a data science consultant for SleepInc, a sleep-tracking startup, and your mission is to analyze anonymous sleep data from their SleepScope app to uncover insights into lifestyle factors affecting sleep quality and duration.",,,,"Amina Edmunds, COLLABORATORS",,Jan 2024,
2041,https://app.datacamp.com/learn/projects/2041,Building RAG Chatbots for Technical Documentation,Intermediate,1 hr,You'll create a context-aware chatbot by integrating a car manual with an LLM using LangChain and Retrieval Augmented Generation (RAG). The goal is to create a car assistant that can explain dashboard warnings and recommend actions while driving. Say goodbye to boring manuals!,,,,"Mikael Brunila, James Chapman, COLLABORATORS",,Jan 2026,
2044,https://app.datacamp.com/learn/projects/2044,Evaluate a Manufacturing Process,Advanced,1 hr,"Manufacturing processes vary, and ensuring consistent quality requires careful monitoring and adjustment. Sometimes, the adjustments can be too extreme and may have the opposite effect, reducing quality. Apply SQL window functions, partitioning and summary statistics to manufacturing data to identify if any adjustments were wrong for the company.",,,,"Jasmin Ludolf, COLLABORATORS",,Jun 2024,
2046,https://app.datacamp.com/learn/projects/2046,Analyzing Car Reviews with LLMs,Advanced,1 hr,"Prepare to leverage your practical skills by using pre-trained LLMs! In this project, you are an AI developer hired by an auto dealership company.

Your task is to implement pre-trained large language model (LLM) use cases for tasks such as analyzing and classifying customer reviews on cars, responding to inquiries about available car models, and translating the company's English text data into other languages.",,,COLLABORATORS,,,Mar 2025,
2050,https://app.datacamp.com/learn/projects/2050,Basketball Analytics: Clustering Players by Performance Metrics,Advanced,1 hr,"Embark on a journey through the 2022-2023 NBA season with R's clustering algorithms to analyze player stats. Group players, write and use functions with the tidyverse, and create dendrograms for insightful visualizations, understanding player metrics through data exploration, and sharpening your data analysis skills.",,,,"Dr. Chester Ismay, COLLABORATORS",,May 2025,
2059,https://app.datacamp.com/learn/projects/2059,Building an E-Commerce Clothing Classifier Model,Intermediate,1 hr,"Transform the retail industry with cutting-edge AI: develop an innovative clothing classification system to create a smarter, more efficient shopping experience.

Leveraging machine learning, you’ll make it easier to find the perfect outfit among a variety of choices, opening up new possibilities in the rapidly evolving digital fashion world.",,,,Chris Harper,,Mar 2025,
2075,https://app.datacamp.com/learn/projects/2075,What Makes a Good Book?,Intermediate,1 hr,"Extracting value from a variety of data formats is a crucial skill for data scientists to maximize the performance of their machine learning models.

Your expertise has been requested to help an online bookstore in predicting what books will be popular! You'll apply skills across the machine learning workflow, performing EDA, converting data types, transforming features, manipulating data, and tuning a model to maximize its accuracy in predicting popular books.",,,,"Francesca Donadoni, COLLABORATORS",,May 2024,
